"longitude" "latitude" "obs" "CMAQ"
-86.89694 37.93889 72.875 65.8129
-85.85167 37.70639 69.375 61.355
-87.57528 37.85889 58 64.2243
-87.46333 37.87139 60.286 74.4756
-85.57833 38.13722 61.625 65.9879
-85.89611 38.06083 62.625 73.4727
-85.71167 38.26361 74 76.3274
-84.58916 37.89333 51.75 73.919
-84.525 39.0725 81.625 76.8701
-88.39306 37.15556 66.25 69.3543
-88.33417 37.07083 62.375 69.3543
-88.5725 37.05806 60.5 62.9366
-87.25389 37.60639 68.75 72.3022
-87.15833 37.22722 79.125 62.4375
-85.44334 38.39861 79.75 67.376
-83.22028 37.28305 51 66.6385
-82.53528 37.48278 75.375 58.5291
-84.61166 37.0975 63.625 65.6256
-84.56 38.38583 55.429 69.558
-86.56639 36.70861 87.286 62.1361
-88.01361 36.90139 47.714 60.4076
-86.25056 37.03667 78.25 62.9008
-90.96833 30.23389 40.571 54.0887
-93.14389 30.49194 37.625 38.8673
-93.74973 32.53417 62.875 45.7386
-93.85972 32.67639 52.625 47.9793
-93.37194 30.14333 36.25 24.7992
-93.28416 30.26167 33.875 30.187
-93.57833 30.22778 31.25 35.5301
-91.18333 30.41889 46.5 50.774
-91.17694 30.46111 44.625 41.0216
-91.05583 30.70028 32.429 53.9028
-91.20695 30.58722 43.375 52.7697
-92.4603 31.5023 44.375 45.195
-91.425 30.4 46.5 61.9302
-91.31611 30.22056 41.75 64.0729
-91.12995 30.20699 45.75 57.128
-90.275 30.04333 51.375 55.6214
-92.05139 30.2175 45.25 58.2072
-90.76518 29.76389 48.5 67.5723
-90.8125 30.3125 38 54.9961
-90.10278 29.99444 34.5 51.3465
-92.0461 32.50971 44 49.6908
-91.36667 30.68472 36.5 54.3421
-89.99861 29.98194 45.25 55.0108
-90.41055 29.98417 41.875 56.9772
-90.82 29.99444 42.5 58.4464
-90.60833 30.05833 47.875 45.634
-91.21 29.71528 47.875 65.8878
-91.20972 30.50194 44.5 41.0216
-70.20778 43.56083 49.125 44.7969
-68.30639 44.23944 37.429 38.7058
-68.22722 44.35167 51.714 35.6715
-68.26083 44.37695 42.625 33.5467
-69.78555 44.23028 45.75 36.1937
-69.26195 43.9175 39.429 52.2676
-70.85555 44.22222 29 31.0432
-68.6785 44.73487 46.875 29.4844
-69.21389 45.16417 34.5 27.0852
-70.62 43.65917 46.625 34.4807
-70.47139 43.34306 52.5 51.364
-70.75 43.08333 52.5 43.6589
-70.26472 43.64472 47 44.7969
-76.65305 38.9025 54.25 70.6029
-76.72945 39.10111 69.625 76.5095
-76.63111 39.46083 77 89.8475
-76.47444 39.31083 64.875 60.2983
-76.58389 38.54 47.875 71.2072
-77.04166 39.44417 94.5 90.1945
-76.81194 38.50417 51.375 65.5607
-77.37583 39.40805 93.625 86.4239
-76.29667 39.41 71.75 77.3223
-76.20389 39.56333 68 78.0612
-75.79733 39.305 59 64.6365
-77.10694 39.11444 78 92.2781
-76.82778 39.02 68 74.2285
-76.93278 38.85167 63 73.9387
-77.72195 39.56556 75.5 59.8487
-76.5825 39.31861 74.125 70.7144
-70.02472 41.97583 54 59.9326
-73.16861 42.63667 72.857 40.5601
-70.88139 41.63528 80.857 89.5143
-71.14889 42.06306 48.875 52.937
-71.14639 42.70944 29.125 51.8376
-70.9725 42.47445 50.857 46.5782
-70.80917 42.78944 49.375 39.8478
-72.67805 42.06167 46 49.6532
-72.55611 42.19417 45.75 44.9799
-72.52361 42.40028 41.5 37.2935
-72.33472 42.29833 62.143 39.474
-71.48583 42.41361 50.5 56.5388
-70.96882 42.31742 50.75 47.2162
-71.08278 42.32944 40.5 16.4498
-71.87611 42.27417 64.5 51.4917
-86.14861 42.76778 88.875 75.6832
-86.10944 44.61694 91.625 96.3322
-86.30972 42.19778 79.857 71.11
-86.00166 41.89556 78.875 72.7624
-84.39389 42.79833 71.625 67.3991
-83.66944 43.02889 80.625 67.8943
-83.46167 43.16833 85.5 72.6364
-82.64306 43.83639 89.875 77.7484
-84.53611 42.7375 71 65.6774
-85.54195 42.27806 74.625 68.2866
-85.67111 42.98472 78 69.6116
-85.41666 43.17667 82 76.2846
-83.94667 41.99556 75.875 62.2683
-82.79361 42.73139 75.375 81.5502
-83.00611 42.51333 73.625 70.4202
-86.29444 43.95333 100.75 92.2703
-84.89194 44.31055 81.714 72.0999
-86.31111 43.27806 95.875 96.6942
-83.18333 42.46305 80.5 76.179
-85.85278 42.89444 81.5 69.2122
-82.45639 42.95333 60.375 74.359
-83.59972 42.24055 82.625 79.4256
-83.20858 42.228 68.875 67.2831
-83.09617 42.3578 60.5 69.8233
-83.00083 42.43083 70 86.9371
-93.20111 45.40083 38.875 54.8565
-92.52361 46.70524 36.571 49.7561
-92.88778 44.75 44.75 43.7437
-91.49611 47.94639 38.875 55.2092
-92.82917 48.41278 30.286 46.1534
-92.85506 45.11739 43.25 48.3732
-91.39025 31.56039 40.25 50.1736
-88.60167 34.90917 62.75 47.4805
-89.98783 34.82166 49.125 55.0003
-89.56744 30.23017 53.143 70.4068
-89.44833 30.38 49.5 72.4919
-89.04972 30.39014 49.5 71.4168
-90.14091 32.38558 42.75 55.0564
-88.53394 30.37819 48.75 62.5162
-88.70861 30.52278 46.5 61.4472
-88.73145 32.36439 45.25 46.9859
-88.76622 34.26492 56.125 47.9388
-90.17861 32.56483 42.875 49.7557
-90.88711 32.32283 37.5 50.8003
-94.58 38.77028 53 55.8448
-94.0375 37.69583 53 39.9374
-94.28333 39.41667 60 64.1988
-94.37639 39.30305 60.25 61.157
-94.4975 39.18389 60 51.6353
-93.26187 37.12718 46 47.1606
-93.29861 37.26136 35.125 48.0867
-90.36139 38.43778 67.75 64.3418
-91.78917 39.47306 56 47.799
-94.7 39.3 51 53.6331
-90.22639 38.8725 70 80.8536
-90.44695 38.90222 84.25 82.2824
-90.42222 37.89694 57.5 51.1018
-90.38277 38.5325 62.25 66.4454
-90.49583 38.61361 65.75 64.8967
-90.34583 38.64139 59.625 70.5456
-90.28584 38.76611 61.875 75.6829
-90.36703 38.72092 71.75 70.5456
-90.26361 38.5425 59.5 64.4235
-90.19861 38.62417 52.75 65.5153
-90.23889 38.67222 66.75 65.5153
-96.02472 41.36028 44.875 38.9918
-95.96028 41.30611 36.286 37.7829
-71.49583 43.56528 47.625 32.1083
-71.13417 43.97944 32.75 30.7178
-72.27778 42.93056 39.5 32.2045
-71.3025 44.27833 48.5 34.9243
-71.225 44.29056 33.375 34.9243
-71.39194 45.05111 31.625 32.3359
-72.01 44.08389 37 33.4606
-71.46806 43.00056 49.25 42.2244
-71.445 42.70194 55.375 44.4867
-71.53416 43.20694 38.625 35.898
-70.74583 43.00222 46.25 43.6589
-71.2 43 46.5 36.7846
-70.92944 43.28333 40 34.5384
-72.33833 43.36444 42.625 35.7471
-74.45972 39.525 58.375 72.4148
-74.03 40.9 80.25 59.2913
-75.09722 39.92278 80.75 75.5528
-74.85694 39.67389 66.375 77.942
-75.02583 39.42222 60 71.3341
-75.21833 39.79917 69.875 78.4892
-74.12583 40.67083 72.25 38.8843
-74.81 40.51667 79.625 65.3103
-74.74667 40.28278 90.25 69.1238
-74.42555 40.47333 78.375 61.603
-74.00611 40.18806 80.25 78.9381
-74.6775 40.78722 84.429 57.8885
-74.44556 40.06528 93.875 84.7237
-74.25806 41.05222 70.571 51.009
-73.75689 42.68069 63.25 51.8558
-73.88075 40.86586 71.75 51.9214
-79.31888 42.49945 78 57.5159
-79.58658 42.29073 74.375 57.1988
-76.80249 42.11105 64.625 54.273
-73.74262 41.78179 63.429 57.4481
-78.77142 42.99292 72.143 56.5183
-73.90313 44.36608 60.5 44.1694
-73.85892 44.39309 60.375 44.1694
-74.51625 43.44957 48.286 44.6926
-74.98538 43.68578 47.125 45.9249
-75.97321 44.08749 70.5 58.622
-75.78443 42.73046 56.125 52.2077
-77.55479 43.16545 65.125 57.2945
-74.01305 40.71139 80.571 38.8843
-78.47851 43.22394 71.75 57.3836
-75.71916 43.29996 57.375 50.498
-76.0592 43.05238 61.571 62.2554
-74.21529 41.52398 70.714 52.5942
-73.70762 41.44151 66.25 60.4636
-73.75861 40.75527 75.125 35.8618
-73.84757 40.7842 58.75 26.7101
-73.82317 40.7362 66.5 35.8618
-74.12619 40.59733 77 53.6022
-73.6489 43.01209 49.75 51.7031
-73.94019 42.79963 58 52.2961
-73.4189 40.74646 73.125 68.6913
-72.71274 40.96119 54.625 89.5782
